Crop Name,Ideal pH,Average Temperature,Yield,Nitrogen,Phosphorus,Potassium
Pandan,6.6,22-25,8.8,13,15,15
Marjoram,6.6,23-29,7.42,6,11,29
Mango,6.5,22-26,7.51,15,7,16
Chamomile,6.6,26-34,3.93,9,15,30
Kale,6.9,20-29,6.72,10,14,26
Bitter Gourd,6.9,22-27,4.81,5,14,27
Coconut,6.3,24-26,0.92,10,12,37
Parsley,6.5,25-27,9.63,7,7,38
Basil,5.5,24-26,1.15,5,6,27
Saffron,5.9,19-28,4.95,14,10,35
Fennel,6.2,16-26,5.45,7,15,15
Acerola Cherry,6.5,23-34,9.59,13,9,19
Cranberry,6.5,30-30,2.96,10,11,32
Mulberry,6.2,26-31,8.99,12,13,15
Snake Gourd,5.7,18-31,4.23,12,5,21
Zucchini,6.2,30-33,8.52,11,7,22
Blueberry,6.3,27-28,3.76,6,12,39
Yam,5.9,23-28,5.1,10,15,26
Brussels Sprouts,5.8,25-26,7.89,10,8,36
Mushrooms,6.5,30-32,5.94,5,13,16
Jasmine,5.7,28-27,8.74,5,6,26
Endive,6.1,18-34,9.93,10,14,31
Microgreens,6.4,30-35,8.75,5,13,35
Endive,5.8,29-33,9.53,13,14,23
Mint,5.7,29-30,2.23,14,7,24
Green Onions,6.1,15-34,6.19,13,10,18
Curry Leaves,6.9,24-25,1.08,11,14,30
Broccoli,5.8,25-31,8.6,12,12,20
Seaweed,6.7,24-31,6.18,12,7,30
Celery,5.8,23-31,1.48,14,15,39
Tea,6.0,26-26,7.01,5,11,35
Cassava,6.5,17-27,7.94,5,7,39
Ceylon Spinach,6.4,22-34,7.82,5,9,24
Ginger,5.9,16-34,5.6,11,11,30
Green Onions,6.0,23-27,9.56,12,8,31
Avocado,6.8,18-31,5.44,12,8,33
Arugula,6.8,18-30,0.85,10,8,22
Sugarcane,6.7,27-35,4.13,7,11,18
Endive,6.1,16-28,3.59,15,5,19
Seaweed,5.5,16-35,8.12,7,9,24
Green Onions,6.6,24-25,1.41,10,13,16
Cauliflower,6.9,29-31,9.33,12,12,35
Chamomile,6.6,17-27,2.87,8,7,19
Thyme,7.0,19-31,3.84,11,7,15
Artichoke,5.7,19-25,8.67,7,15,21
Ginger,6.3,30-30,2.77,10,14,22
Jackfruit,5.8,20-29,4.21,5,13,29
Blueberry,5.5,16-27,3.2,12,5,20
Spinach,6.0,29-31,1.49,13,7,20
Mustard Greens,6.8,24-25,3.14,10,14,20
Lychee,6.5,23-32,4.77,6,8,21
Ginseng,6.5,15-25,3.4,14,11,37
Thyme,6.2,20-25,8.71,12,7,19
Pandan,6.9,21-32,3.08,8,10,29
Clove,5.8,21-33,6.24,10,10,32
Holy Basil,6.0,21-27,8.68,11,11,35
Clove,6.6,16-26,3.81,9,15,20
Lemongrass,5.9,17-27,7.26,13,7,33
Cucumber,5.6,24-26,8.73,10,8,30
Echinacea,6.9,23-32,3.03,11,5,35
Kiwi,6.9,27-31,5.7,13,10,34
Tea,6.2,18-25,9.32,11,7,25
Yacon,6.0,26-32,3.69,10,10,35
Moringa,6.4,16-31,2.33,14,5,22
Alfalfa,6.9,22-30,4.78,12,15,22
Sage,6.2,29-35,3.43,12,15,39
Peanuts,5.6,16-31,2.76,6,12,35
Neem,6.2,29-31,6.39,10,11,40
Sweet Corn,6.8,23-30,2.15,5,5,25
Raspberry,6.7,21-32,6.79,13,8,30
Beans,5.9,29-32,0.79,9,6,22
Acerola Cherry,5.8,26-35,1.54,11,7,29
Mustard Greens,7.0,21-30,8.66,15,9,19
Pandan,6.8,17-31,5.5,7,10,39
Ceylon Spinach,6.5,27-33,7.79,6,5,22
Camellia,7.0,15-35,2.24,8,9,17
Arugula,5.6,19-31,4.27,13,15,39
Turmeric,6.4,17-35,8.09,13,13,28
Snake Gourd,6.9,19-30,7.58,7,15,15
Soursop,6.4,19-26,7.72,15,13,24
Broccoli,5.8,29-25,4.85,14,9,39
Rose Apple,6.9,17-31,7.92,11,6,25
Cucumber,6.2,30-28,7.4,15,6,19
Kiwi,6.0,23-29,7.65,8,14,40
Lettuce,5.9,16-32,2.91,10,5,25
Snake Gourd,5.9,23-27,7.08,12,15,22
Beans,5.5,29-27,4.24,5,14,39
Marjoram,5.7,27-27,5.44,12,15,24
Cucumber,6.5,20-34,6.1,15,11,23
Sunflower,6.4,18-31,8.71,5,6,26
Chili Pepper,6.6,23-27,1.0,12,13,20
Bael,5.5,28-29,7.78,11,14,36
Neem,5.6,22-35,3.0,9,6,21
Ginseng,5.7,16-35,0.98,7,5,39
Endive,6.6,25-25,6.84,14,9,35
Radicchio,6.5,24-31,2.06,13,5,30
Blueberry,6.0,26-27,5.53,13,8,15
Lychee,5.8,28-34,2.36,13,14,24
Saffron,6.3,25-29,4.84,11,11,15
Carrots,6.9,23-30,9.27,9,14,20
Hops,5.8,25-25,2.72,5,11,24
Agarwood,6.8,21-31,4.76,6,11,29
Peppers,6.6,28-34,1.26,8,15,31
Neem,6.2,23-30,6.64,15,13,38
Dandelion Greens,6.5,27-32,3.9,14,10,31
Spinach,5.9,29-35,0.91,5,15,18
Stevia,6.6,26-35,6.82,11,13,38
Lavender,5.5,19-32,9.94,12,6,19
Agarwood,6.3,19-28,6.58,15,6,19
Bael,6.4,27-26,8.96,14,11,39
Pandan,6.7,28-26,1.47,13,13,39
Acerola Cherry,5.7,18-30,4.36,14,11,18
Lemongrass,6.6,29-26,6.72,10,9,15
Parsley,6.2,20-32,6.87,6,15,21
Rose Apple,6.3,24-35,6.23,12,5,28
Cassava,5.8,19-33,1.48,11,14,36
Basil,5.7,19-30,3.86,5,10,39
Tarragon,6.1,20-33,4.43,5,15,20
Hops,5.8,30-31,5.19,15,8,20
Beets,6.4,22-35,7.86,10,13,24
Zucchini,6.7,17-26,4.45,8,11,15
Seaweed,6.7,18-28,7.76,6,8,27
Arugula,5.9,24-33,6.73,8,11,30
Seaweed,6.6,19-32,1.25,11,15,35
Clove,6.8,28-30,3.28,15,6,17
Dragon Fruit,6.3,27-26,9.5,10,8,18
Beets,6.4,30-28,9.02,6,15,17
Swiss Chard,6.6,30-28,5.46,10,7,29
Artichoke,5.9,20-26,8.85,12,13,18
Endive,5.8,18-31,5.1,5,5,31
Lettuce,5.6,20-26,2.07,11,6,38
Microgreens,7.0,21-31,2.09,8,12,24
Snake Gourd,6.7,23-29,5.06,12,5,15
Clove,5.5,28-26,4.02,12,6,31
Soursop,6.4,30-28,5.61,7,7,24
Basil,6.0,25-28,8.23,8,13,39
Ginger,6.5,23-31,5.43,7,15,30
Mango,5.8,29-33,7.62,5,14,35
Celery,6.1,25-32,7.02,7,6,19
Fenugreek,6.3,29-34,9.27,8,5,18
Fenugreek,6.9,27-35,8.25,13,5,38
Peas,6.8,21-27,1.85,9,10,20
Sunflower,7.0,15-28,7.39,14,10,32
Lemongrass,6.6,21-34,0.68,11,5,24
Bok Choy,6.5,16-27,6.41,11,8,25
Hops,6.5,16-27,3.43,8,7,30
Broccoli,6.2,23-31,7.95,12,14,25
Peppermint,5.8,24-34,3.79,15,11,21
Microgreens,6.5,26-28,8.96,8,12,19
Thyme,5.7,29-34,8.67,11,15,27
Ginseng,6.0,20-32,2.98,15,12,25
Lemongrass,6.7,22-30,9.31,7,5,25
Cauliflower,6.8,26-30,6.57,13,7,16
Basil,6.7,20-26,5.86,10,11,36
Endive,5.6,25-32,1.82,11,5,37
Ginseng,6.8,18-26,3.24,8,15,27
Yacon,6.6,15-35,7.48,12,11,35
Tomato,6.8,26-33,0.75,6,9,26
Artichoke,5.7,25-30,7.08,15,15,22
Zucchini,6.7,26-31,5.11,10,8,37
Green Onions,6.3,21-34,9.71,5,7,40
Carrots,7.0,29-33,2.5,6,5,32
Rose Apple,5.9,19-30,6.97,5,11,18
Coffee,5.7,29-27,9.93,15,7,39
Coriander,5.8,24-33,1.87,10,6,22
Lavender,6.6,25-31,4.64,11,6,22
Oregano,7.0,19-25,0.58,9,6,31
Raspberry,6.2,18-25,1.2,13,15,16
Chamomile,7.0,25-28,5.28,14,6,34
Cauliflower,5.9,21-35,1.53,10,10,39
Green Onions,6.5,27-34,5.03,14,5,35
Microgreens,5.9,25-26,0.73,11,10,17
Strawberry,5.9,20-30,0.78,10,13,32
Beans,6.2,21-26,4.01,12,11,32
Spinach,6.8,20-25,6.63,9,8,21
Blackberry,6.7,25-26,4.77,15,13,34
Raspberry,6.6,25-35,6.4,14,6,40
Ginseng,6.3,15-25,5.06,10,10,16
Moringa,5.7,16-26,9.1,13,12,23
Mustard Greens,6.2,26-26,4.92,5,14,15
Avocado,7.0,30-34,1.25,9,9,37
Alfalfa,6.3,22-31,7.85,12,5,38
Persimmon,6.5,15-27,4.43,6,8,18
Jasmine,6.5,29-33,0.86,8,14,22
Gooseberry,6.3,27-31,1.79,11,5,15
Peppermint,5.9,25-28,8.27,13,10,32
Mango,6.8,27-32,4.58,8,15,25
Soursop,5.6,20-29,2.08,14,11,31
Jasmine,6.5,26-25,3.29,8,10,31
Lavender,6.1,26-27,4.6,10,13,17
Sweet Corn,6.1,15-25,7.54,13,10,32
Star Fruit,6.5,17-31,4.91,11,9,17
Peppermint,6.3,30-32,9.39,6,12,31
Beets,5.7,19-30,2.51,10,13,24
Ginger,6.5,30-30,2.09,10,14,32
Oregano,6.0,23-29,9.75,15,5,22
Cauliflower,5.7,15-31,3.2,7,7,31
Endive,6.2,17-26,7.9,12,10,22
Blueberry,6.8,24-34,6.11,9,10,33
Parsley,5.8,19-32,9.31,8,11,36
Cucumber,6.2,26-35,4.22,8,13,24
Pomegranate,5.7,30-27,6.13,14,12,26
Blackberry,6.8,30-28,4.65,9,9,16
Dill,6.6,25-28,9.56,10,15,22
Chili Pepper,6.5,29-25,3.01,5,15,40
Nutmeg,6.5,15-26,5.12,15,14,24
Gooseberry,6.5,27-29,0.67,14,12,24
Stevia,5.8,26-29,7.84,9,9,15
Pomegranate,6.0,30-29,4.92,8,13,34
Sage,6.5,19-33,5.63,11,5,23
Basil,6.6,19-32,4.45,11,13,39
Jasmine,6.1,19-27,5.16,14,12,17
Dragon Fruit,6.3,29-26,7.08,12,5,39
Asparagus,5.5,18-25,3.76,15,7,16
Bok Choy,5.5,18-25,7.75,9,15,34
Pomegranate,5.7,17-25,5.96,10,14,16
Arugula,5.9,20-26,4.49,5,15,25
Cauliflower,7.0,21-27,8.38,8,6,35
Tomato,6.4,27-35,7.18,15,8,19
Lavender,6.7,20-26,3.5,12,9,23
Carrots,5.7,24-30,8.1,15,10,24
Strawberry,7.0,29-26,2.79,7,8,20
Neem,5.9,30-28,2.62,8,15,40
Endive,5.8,23-33,1.58,15,14,33
Blueberry,6.6,27-25,5.66,6,9,22
Ceylon Spinach,6.9,17-32,8.96,7,11,36
Nutmeg,7.0,20-32,1.27,5,15,34
Star Fruit,5.8,30-30,1.34,14,13,23
Coriander,6.5,30-26,4.8,5,14,19
Vanilla,6.9,23-26,9.67,15,7,21
Mustard Greens,6.4,17-25,9.71,13,15,37
Cranberry,6.9,17-28,5.94,12,12,30
Tomato,6.5,16-35,3.8,6,10,23
Endive,6.1,23-31,3.57,8,5,39
Artichoke,5.7,24-31,2.71,11,12,35
Lychee,6.2,30-27,3.36,11,10,35
Carrots,6.8,17-29,2.48,14,11,15
Asparagus,5.9,20-25,8.28,13,7,24
Kale,6.0,25-28,4.3,5,9,22
Eggplant,7.0,21-31,1.84,9,13,33
Yacon,6.7,25-30,1.69,9,13,15
Celery,6.8,26-31,7.53,14,14,21
Papaya,6.3,15-30,2.39,12,12,40
Gooseberry,6.6,25-27,8.14,7,6,38
Ceylon Spinach,6.1,20-33,7.33,13,5,17
Mushrooms,5.8,16-28,4.0,7,6,19
Wasabi,5.8,28-31,8.32,7,13,36
Bael,6.0,21-25,3.71,13,15,27
Celery,6.0,27-26,9.91,15,6,18
Bael,6.0,26-32,7.48,13,14,37
Ginseng,6.5,18-27,2.5,15,12,25
Snake Gourd,5.7,18-29,2.59,12,6,23
Beans,6.2,25-26,9.0,10,10,23
Watercress,7.0,26-30,8.69,14,11,33
Soybeans,6.5,20-28,9.63,12,8,24
Chives,5.7,25-33,5.04,7,10,26
Sugarcane,6.5,29-26,8.73,5,8,23
Hops,6.8,23-28,1.98,12,10,36
Yacon,7.0,21-34,8.06,14,7,17
Fenugreek,6.6,28-32,3.9,14,10,39
Sweet Corn,5.6,25-30,7.86,13,13,20
Mango,6.9,22-26,0.53,12,15,20
Holy Basil,5.8,23-27,4.98,10,5,16
Watermelon,6.3,17-29,5.75,11,11,34
Stevia,5.6,16-33,7.71,11,9,22
Mulberry,6.5,15-31,9.84,9,6,24
Pomegranate,6.9,30-30,3.85,7,12,30
Arugula,6.7,25-27,9.09,14,13,40
Sugarcane,5.7,20-33,2.09,11,13,28
Tomato,6.7,26-25,0.96,14,15,35
Coriander,5.9,23-33,7.65,5,5,31
Agarwood,6.0,23-30,8.86,11,14,38
Dragon Fruit,6.3,19-30,3.64,10,5,39
Tarragon,6.3,25-33,9.44,15,15,17
Lettuce,6.7,20-28,6.07,10,7,23
Zucchini,5.5,17-30,2.17,5,9,33
Star Fruit,7.0,23-29,8.7,8,14,39
Camellia,5.8,20-35,3.74,6,8,20
Dandelion Greens,5.8,18-32,4.32,11,7,18
Cabbage,5.8,22-27,1.84,13,14,18
Saffron,6.2,26-32,2.54,9,12,29
Fennel,7.0,23-26,7.97,13,11,40
Fig,6.8,24-29,1.93,11,6,19
Artichoke,6.7,21-34,4.9,6,11,18
Sage,5.9,17-26,3.42,15,13,21
Cranberry,6.4,23-28,6.17,9,6,26
Mulberry,6.3,26-26,8.69,12,7,18
Carrots,6.3,15-28,6.92,6,5,28
Artichoke,6.3,29-29,9.04,5,12,17
Lemongrass,6.4,22-32,1.59,11,9,32
Fenugreek,6.5,15-31,0.75,14,8,17
Jasmine,6.1,23-28,7.06,11,5,31
Chamomile,5.7,24-29,9.6,12,5,37
Parsley,6.8,18-30,2.71,15,11,25
Peppers,6.0,16-25,1.89,15,14,23
Cauliflower,6.7,17-31,9.89,14,7,30
Beets,5.6,17-32,7.12,14,10,25
Carrots,5.8,30-26,1.83,11,11,24
Coconut,5.6,22-31,9.46,12,13,22
Strawberry,6.9,29-25,6.37,14,10,32
Holy Basil,6.6,15-25,2.11,9,10,40
Mango,6.2,23-33,8.54,6,5,27
Rose Apple,6.6,17-32,7.54,7,13,27
Broccoli,5.6,28-33,5.5,15,15,28
Endive,5.8,22-35,3.63,9,12,30
Peanuts,7.0,23-34,1.01,14,10,15
Chives,6.7,20-28,2.17,6,13,21
Raspberry,6.6,18-35,4.95,12,8,29
Soursop,6.8,24-35,0.98,5,9,25
Pineapple,5.9,30-25,8.6,10,8,17
Neem,6.7,27-34,6.68,7,14,33
Marjoram,6.6,17-34,3.8,5,13,32
Fenugreek,7.0,30-25,6.9,6,5,33
Curry Leaves,6.0,29-28,7.1,12,11,37
Broccoli,6.2,25-30,3.36,8,6,19
Tarragon,5.7,16-35,4.02,15,6,16
Soybeans,6.1,20-34,9.76,12,7,22
Dandelion Greens,5.8,18-34,6.49,10,9,29
Holy Basil,6.3,23-35,3.69,5,6,15
Sugarcane,5.9,27-27,5.61,9,5,15
Zucchini,6.9,16-30,5.03,5,12,15
Avocado,5.8,30-31,4.78,15,7,28
Taro,6.3,16-26,3.85,8,9,34
Ceylon Spinach,6.3,20-33,5.76,14,14,40
Taro,6.5,25-27,4.98,11,10,26
Snake Gourd,6.1,20-25,5.32,5,12,24
Soybeans,6.1,27-34,3.36,9,12,24
Sugarcane,6.8,29-30,3.74,5,15,39
Lemongrass,6.3,21-35,2.49,12,7,33
Peppermint,6.3,28-32,4.2,13,14,29
Soursop,6.3,17-31,2.95,8,5,16
Rose Apple,6.1,15-28,2.28,13,14,20
Sage,5.7,27-30,4.98,13,10,17
Betel Leaf,6.9,29-27,5.31,15,5,17
Sweet Corn,5.6,30-35,6.04,9,6,15
Star Fruit,5.9,28-32,3.25,15,9,25
Ginseng,6.5,27-26,7.65,9,14,27
Lychee,6.1,26-27,3.52,13,14,23
Fennel,7.0,29-28,5.84,9,6,38
Beets,6.4,15-34,5.79,14,15,39
Coriander,6.0,19-33,7.51,11,10,18
Tarragon,6.1,29-28,1.87,15,6,29
Taro,5.9,22-25,8.04,10,5,29
Neem,5.8,17-33,0.75,11,11,23
Holy Basil,5.7,16-27,6.52,14,12,38
Lemongrass,5.8,26-28,9.97,15,12,37
Yam,5.8,30-31,6.35,5,5,31
Soursop,5.6,17-31,0.72,9,14,29
Star Fruit,5.7,18-29,1.9,15,13,17
Guava,6.6,22-35,9.09,5,12,18
Swiss Chard,5.6,17-34,4.75,15,7,36
Fenugreek,6.7,22-28,1.57,9,9,25
Pomegranate,6.3,22-31,1.31,12,5,35
Echinacea,6.9,22-32,4.07,12,8,25
Mushrooms,7.0,26-34,2.35,5,15,39
Coriander,6.4,24-25,9.77,13,14,37
Stevia,6.8,24-35,2.17,7,6,37
Beans,6.6,15-30,7.37,5,9,34
Dragon Fruit,5.9,28-31,4.02,10,10,24
Bael,6.0,17-32,5.29,6,8,28
Thyme,6.6,15-35,0.95,13,7,15
Seaweed,5.7,24-34,7.96,10,6,30
Broccoli,6.8,30-29,7.42,15,9,34
Papaya,5.6,22-26,7.13,5,13,20
Lavender,6.8,17-29,5.46,7,10,17
Soybeans,6.3,19-29,3.06,9,10,16
Asparagus,6.9,26-34,9.2,11,14,16
Dragon Fruit,6.0,20-26,7.86,14,6,29
Dill,6.6,19-35,8.91,9,5,38
Lavender,6.6,25-34,6.81,5,11,24
Zucchini,6.1,25-28,3.56,6,14,38
Oregano,6.8,20-32,7.88,15,14,19
Aloe Vera,6.5,24-31,0.75,6,15,24
Mint,6.3,21-26,2.83,11,9,26
Green Onions,7.0,15-26,1.6,9,11,37
Yam,7.0,26-26,5.83,13,6,23
Betel Leaf,6.2,24-30,6.28,14,8,30
Holy Basil,6.7,27-28,8.32,5,9,16
Artichoke,5.9,30-30,2.43,10,5,37
Yacon,6.2,22-32,2.08,11,10,39
Neem,6.8,27-34,4.73,14,8,39
Zucchini,6.0,30-28,3.13,14,13,37
Echinacea,6.6,23-27,9.85,7,7,16
Sweet Corn,6.7,17-35,8.66,12,13,40
Thyme,5.8,17-25,6.1,5,6,28
Rosemary,5.6,16-32,7.41,15,14,32
Neem,5.7,19-25,9.91,7,8,17
Papaya,6.8,15-25,8.01,5,13,20
Mulberry,6.3,16-26,9.96,8,12,34
Echinacea,6.0,27-34,9.1,5,8,38
Coconut,6.9,27-25,2.24,5,8,31
Guava,5.9,20-33,8.58,12,5,26
Papaya,6.9,15-31,1.07,12,6,21
Cauliflower,5.9,27-28,3.34,7,13,36
Peppermint,6.5,15-28,6.0,14,14,18
Nutmeg,7.0,30-28,6.76,11,12,27
Lavender,5.6,21-33,3.56,10,8,16
Kiwi,5.7,27-33,2.57,11,10,40
Swiss Chard,6.7,26-28,5.47,14,10,18
Microgreens,5.6,24-31,8.21,12,8,34
Bael,6.1,18-31,3.35,7,13,18
Dandelion Greens,6.5,30-25,4.61,12,7,16
Chives,6.0,30-31,3.92,10,13,19
Rose Apple,6.2,24-34,3.13,5,9,16
Rose Apple,5.5,22-25,4.63,6,12,26
Tea,6.7,22-34,2.6,6,11,26
Bael,6.4,30-30,9.0,8,9,23
Fennel,5.5,30-31,9.43,13,7,22
Cassava,5.6,24-26,8.6,14,14,17
Radicchio,6.1,19-32,10.0,13,15,17
Pumpkin,6.4,24-33,0.9,6,12,23
Green Onions,6.4,19-31,4.06,9,12,34
Jackfruit,5.6,28-33,6.57,9,15,40
Seaweed,6.9,15-34,0.83,9,13,36
Cucumber,5.6,30-33,9.99,11,7,27
Sapodilla,5.6,23-31,2.09,12,14,33
Carrots,6.6,28-28,5.29,11,13,27
Jackfruit,5.7,24-27,4.57,5,8,33
Camellia,5.8,20-27,3.1,12,8,31
Mint,6.2,24-25,9.12,5,14,27
Soursop,5.8,17-27,9.34,5,9,23
Persimmon,5.6,19-33,3.73,10,9,19
Papaya,5.5,17-29,3.39,9,13,16
Lettuce,5.7,26-32,8.11,7,10,20
Sage,5.9,29-27,1.11,14,15,33
Coffee,5.9,19-27,5.04,15,8,36
Bitter Gourd,6.4,28-28,5.76,10,14,25
Mint,6.0,27-26,1.27,8,13,35
Persimmon,5.7,20-28,2.78,13,10,33
Betel Leaf,5.8,30-33,1.03,11,11,34
Pandan,6.9,21-31,4.66,6,8,21
Cabbage,6.8,25-25,7.33,14,7,31
Lychee,6.3,23-33,1.68,11,10,35
Carrots,5.9,16-35,3.49,9,13,37
Guava,6.0,16-33,1.47,14,9,35
Chili Pepper,5.9,22-31,3.05,9,15,29
Brussels Sprouts,6.6,17-28,7.47,12,11,18
Swiss Chard,5.5,16-29,5.31,15,7,17
Passionfruit,6.1,24-28,6.67,9,15,23
Zucchini,6.5,26-30,1.7,12,6,27
Chives,5.5,30-29,8.79,6,7,15
Vanilla,5.9,22-31,4.4,11,11,26
Saffron,6.5,21-25,3.87,11,6,29
Soybeans,6.0,16-27,8.71,13,9,15
Thyme,6.8,15-30,3.61,6,7,31
Bael,6.6,28-35,7.33,7,15,28
Radicchio,5.9,27-30,6.96,10,11,35
Spinach,5.8,26-32,2.73,10,11,29
Parsley,5.7,28-33,3.54,10,5,36
Watercress,5.5,26-29,3.72,15,5,40
Sweet Corn,5.6,19-30,7.96,7,9,22
Bitter Gourd,6.9,29-35,3.83,15,7,15
Stevia,5.6,30-29,3.61,10,14,17
Arugula,6.5,28-30,9.22,13,15,19
Dandelion Greens,6.8,28-32,0.56,7,10,34
Cucumber,5.7,25-26,9.72,7,8,27
Avocado,6.9,18-32,1.91,9,8,18
Tea,6.5,17-32,1.03,5,7,39
Soybeans,5.8,21-28,6.97,15,14,16
Agarwood,6.5,18-34,4.83,9,13,18
Dill,6.4,30-33,6.91,6,8,19
Broccoli,5.9,25-29,3.57,12,6,27
Endive,6.9,17-33,7.28,10,14,24
Rosemary,6.9,30-26,1.56,11,6,27
Hops,6.3,30-31,3.93,7,5,31
Curry Leaves,6.6,29-33,5.35,9,14,31
Endive,5.8,16-27,1.28,13,12,18
Chamomile,6.5,28-34,1.68,9,15,37
Carrots,6.4,20-35,6.74,7,6,33
Star Fruit,7.0,27-25,7.32,5,5,20
Nutmeg,5.7,19-35,3.13,11,10,22
Blueberry,6.8,20-32,9.07,12,14,39
Jasmine,5.9,16-30,8.61,10,12,36
Curry Leaves,5.6,17-26,6.92,14,5,28
Cucumber,6.0,22-25,6.52,14,5,17
Stevia,6.5,27-30,2.6,13,15,32
Rose Apple,6.8,23-25,8.91,6,12,22
Dandelion Greens,5.6,22-27,8.69,13,9,36
Purslane,6.8,15-34,2.04,12,10,17
Mint,6.5,29-31,4.61,5,11,25
Cauliflower,5.7,26-31,2.34,7,7,20
Pumpkin,6.4,24-28,3.74,7,13,20
Taro,5.8,25-25,2.31,11,12,22
Pineapple,6.2,17-32,1.92,8,6,38
Oregano,6.5,28-27,4.45,14,12,36
Tomato,6.4,18-32,1.47,12,9,33
Jasmine,5.9,20-32,0.55,8,11,15
Endive,6.3,28-34,0.94,9,6,30
Guava,6.7,22-31,7.18,15,11,40
Turmeric,6.3,29-35,4.77,5,12,20
Ceylon Spinach,5.7,25-32,5.42,11,14,24
Celery,7.0,21-25,5.56,15,6,33
Dragon Fruit,6.9,19-30,4.83,9,6,25
Dill,6.7,17-34,4.59,8,11,15
Betel Leaf,5.7,23-34,7.96,15,12,28
Wasabi,7.0,20-31,5.64,13,14,20
Raspberry,6.0,23-29,8.94,14,11,33
Zucchini,6.3,24-26,1.4,6,11,15
Tarragon,5.9,24-31,5.77,15,10,33
Bael,6.2,17-27,5.54,10,14,22
Agarwood,6.4,23-33,5.98,12,12,21
Rose Apple,6.0,21-28,5.01,6,12,29
Ceylon Spinach,6.0,27-33,2.14,7,6,31
Pomegranate,5.6,17-30,3.46,11,15,20
Marjoram,6.1,22-25,7.46,8,13,16
Taro,6.3,24-32,2.96,13,10,21
Radicchio,6.3,22-33,8.42,5,6,40
Cabbage,5.8,29-33,5.46,14,14,17
Gooseberry,6.4,28-32,2.86,7,11,26
Cucumber,6.8,26-35,3.45,6,9,15
Pandan,7.0,20-32,2.66,5,10,20
Green Onions,6.2,25-33,9.95,10,15,32
Blackberry,6.2,29-28,7.36,11,6,25
Coconut,6.9,29-29,4.94,6,7,38
Papaya,6.0,18-26,5.34,9,13,35
Echinacea,6.3,28-33,4.91,15,14,17
Endive,6.4,16-34,9.46,9,14,31
Bael,6.5,27-34,9.92,15,5,33
Peas,6.4,28-31,9.25,12,7,16
Jackfruit,6.4,23-34,1.47,8,9,16
Kiwi,6.7,28-27,6.2,15,7,18
Chives,6.4,19-33,4.99,6,8,40
Gooseberry,5.8,16-29,7.24,11,8,21
Bitter Gourd,7.0,22-30,9.98,12,6,33
Mint,5.7,26-34,6.17,5,10,39
Moringa,6.5,25-26,1.42,9,15,40
Oregano,6.0,15-26,9.04,12,10,18
Brussels Sprouts,6.3,21-31,3.15,15,7,20
Luffa,6.6,26-29,2.54,13,13,39
Peppermint,6.0,22-33,5.1,10,12,27
Eggplant,6.3,20-25,6.89,6,7,17
Basil,6.7,20-27,3.15,8,12,20
Endive,6.4,22-31,4.34,8,8,37
Radicchio,6.4,23-33,9.96,9,6,30
Beets,6.7,17-28,1.16,13,7,30
Turmeric,6.6,19-29,5.42,6,12,39
Pomegranate,7.0,17-30,9.27,6,10,25
Sweet Corn,5.6,28-31,7.81,11,13,22
Vanilla,6.5,23-35,7.58,11,15,39
Marjoram,5.7,15-31,0.65,14,12,38
Saffron,5.9,20-25,6.67,5,9,22
Passionfruit,5.8,25-26,4.88,6,10,33
Snake Gourd,6.2,25-28,7.7,6,11,28
Mustard Greens,6.6,27-35,0.71,9,6,33
Purslane,6.6,18-35,2.92,6,7,35
Neem,6.6,20-33,1.15,6,5,16
Stevia,6.4,19-25,7.0,6,8,24
Hops,6.8,16-28,6.98,7,15,32
Mushrooms,5.9,17-26,7.14,8,6,40
Sage,6.0,19-35,5.72,6,15,39
Ceylon Spinach,6.3,26-30,9.5,10,11,37
Watercress,5.7,18-31,5.89,5,12,20
Vanilla,6.0,20-34,9.45,7,12,34
Fig,6.4,17-27,4.98,7,11,32
Acerola Cherry,6.6,17-27,2.85,7,6,16
Cranberry,6.6,24-32,2.97,5,13,21
Asparagus,6.3,26-27,8.55,15,11,38
Bok Choy,5.5,20-32,1.77,14,5,36
Eggplant,5.8,26-34,5.6,11,5,32
Oregano,6.9,17-33,8.3,11,5,38
Yacon,6.6,16-29,4.9,12,13,18
Nutmeg,6.4,16-28,2.73,6,7,36
Coriander,5.7,21-32,2.18,15,8,33
Peanuts,6.6,20-27,5.33,11,8,34
Melons,6.3,26-28,9.91,11,5,16
Eggplant,6.3,26-30,6.6,10,10,20
Pomegranate,6.2,28-33,3.39,6,10,21
Avocado,6.8,17-34,5.55,15,6,27
Star Fruit,5.7,26-33,6.46,9,13,22
Snake Gourd,6.0,23-29,5.95,10,12,23
Peppermint,6.6,20-34,0.62,15,13,26
Papaya,6.4,25-35,8.48,13,12,30
Cucumber,6.9,20-34,2.29,12,5,36
Pomegranate,5.6,16-33,6.3,10,7,36
Betel Leaf,6.9,17-34,4.18,15,15,26
Asparagus,5.8,17-32,9.75,6,8,20
Cucumber,6.1,16-32,2.58,8,14,24
Soybeans,6.5,26-33,8.19,10,11,30
Peppermint,6.4,30-26,4.25,14,6,28
Camellia,5.7,28-30,1.82,9,11,39
Tarragon,6.9,30-27,6.1,10,6,36
Coffee,6.7,30-32,4.78,13,9,28
Turmeric,6.6,26-29,6.64,7,5,19
Hops,6.3,28-33,1.17,15,8,35
Tea,6.5,26-33,1.06,5,11,21
Yam,6.9,19-27,7.55,11,7,36
